date,state,location,id,year,month,day,population,tot_case,tot_vaccine,covid_rate,avg_vaccine
2021-07-29,Ohio,OH,39,2021,7,29,11799448,1126625,11028431,0.09548116149162232,0.9346565195253201
2021-07-30,Ohio,OH,39,2021,7,30,11799448,1127808,11070355,0.0955814204189891,0.9382095670916131
2021-07-31,Ohio,OH,39,2021,7,31,11799448,1129277,11086847,0.09570591776835662,0.9396072595938386
2021-08-01,Ohio,OH,39,2021,8,1,11799448,1130134,11104423,0.09577854828463161,0.9410968208004307
2021-08-02,Ohio,OH,39,2021,8,2,11799448,1131029,11116599,0.09585439929054308,0.9421287334797357
2021-08-03,Ohio,OH,39,2021,8,3,11799448,1132798,11125543,0.09600432155809323,0.9428867350404866
2021-08-04,Ohio,OH,39,2021,8,4,11799448,1134965,11140551,0.09618797421709897,0.9441586589474356
2021-08-05,Ohio,OH,39,2021,8,5,11799448,1136934,11158070,0.09635484643010418,0.9456433894195728
2021-08-06,Ohio,OH,39,2021,8,6,11799448,1138600,11177061,0.09649603947574496,0.9472528714902595
2021-08-07,Ohio,OH,39,2021,8,7,11799448,1140917,11194989,0.09669240459384201,0.9487722646008525
2021-08-08,Ohio,OH,39,2021,8,8,11799448,1142330,11214315,0.09681215595848212,0.9504101378301765
2021-08-09,Ohio,OH,39,2021,8,9,11799448,1143599,11226052,0.09691970336239458,0.9514048453792076
2021-08-10,Ohio,OH,39,2021,8,10,11799448,1145925,11236441,0.0971168312280371,0.9522853102958715
2021-08-11,Ohio,OH,39,2021,8,11,11799448,1149318,11253284,0.09740438705268246,0.9537127499523707
2021-08-12,Ohio,OH,39,2021,8,12,11799448,1152590,11268911,0.0976816881603275,0.9550371339405029
2021-08-13,Ohio,OH,39,2021,8,13,11799448,1155322,11284895,0.09791322441524383,0.9563917735812726
2021-08-14,Ohio,OH,39,2021,8,14,11799448,1157782,11311690,0.09812170874434126,0.9586626425236163
2021-08-15,Ohio,OH,39,2021,8,15,11799448,1159759,11329969,0.09828925895516469,0.960211782788483
2021-08-16,Ohio,OH,39,2021,8,16,11799448,1161573,11346445,0.09844299496044222,0.9616081192950721
2021-08-17,Ohio,OH,39,2021,8,17,11799448,1164808,11355869,0.09871716032817807,0.9624068007249152
2021-08-18,Ohio,OH,39,2021,8,18,11799448,1168111,11375906,0.09899708867736863,0.964104931010332
2021-08-19,Ohio,OH,39,2021,8,19,11799448,1171557,11398472,0.09928913623755958,0.9660173933560282
2021-08-20,Ohio,OH,39,2021,8,20,11799448,1175340,11420068,0.09960974445584234,0.9678476484662673
2021-08-21,Ohio,OH,39,2021,8,21,11799448,1178792,11440958,0.09990230051439694,0.9696180702690499
2021-08-22,Ohio,OH,39,2021,8,22,11799448,1180986,11464708,0.10008824141603913,0.9716308762918401
2021-08-23,Ohio,OH,39,2021,8,23,11799448,1183761,11480792,0.1003234219092283,0.9729939909053372
2021-08-24,Ohio,OH,39,2021,8,24,11799448,1187878,11491208,0.10067233653642102,0.9738767440646376
2021-08-25,Ohio,OH,39,2021,8,25,11799448,1192478,11509194,0.10106218528188776,0.9754010526594126
2021-08-26,Ohio,OH,39,2021,8,26,11799448,1197873,11532916,0.10151941006053843,0.977411485689839
2021-08-27,Ohio,OH,39,2021,8,27,11799448,1202728,11554886,0.10193086998646038,0.9792734371980791
2021-08-28,Ohio,OH,39,2021,8,28,11799448,1207932,11577325,0.10237190756720145,0.9811751363284112
2021-08-29,Ohio,OH,39,2021,8,29,11799448,1211895,11602682,0.10270777073639377,0.983324135162933
2021-08-30,Ohio,OH,39,2021,8,30,11799448,1214986,11621032,0.10296973214340197,0.9848792926584362
2021-08-31,Ohio,OH,39,2021,8,31,11799448,1220900,11631364,0.10347094203050855,0.9857549268406455
2021-09-01,Ohio,OH,39,2021,9,1,11799448,1228002,11653997,0.10407283459361828,0.987673067418069
2021-09-02,Ohio,OH,39,2021,9,2,11799448,1235089,11654346,0.10467345591081888,0.9877026450728882
2021-09-03,Ohio,OH,39,2021,9,3,11799448,1241268,11680216,0.10519712447565344,0.9898951205175022
2021-09-04,Ohio,OH,39,2021,9,4,11799448,1247637,11699214,0.10573689548867032,0.9915051958362798
2021-09-05,Ohio,OH,39,2021,9,5,11799448,1253198,11723897,0.1062081887220487,0.993597073354618
2021-09-06,Ohio,OH,39,2021,9,6,11799448,1257142,11723943,0.10654244164642278,0.9936009718420726
2021-09-07,Ohio,OH,39,2021,9,7,11799448,1262018,11749364,0.10695568131661752,0.99575539465914
2021-09-08,Ohio,OH,39,2021,9,8,11799448,1268841,11759556,0.10753392870581742,0.9966191638795306
2021-09-09,Ohio,OH,39,2021,9,9,11799448,1276738,11777029,0.10820319730211109,0.9980999958642133
2021-09-10,Ohio,OH,39,2021,9,10,11799448,1285757,11799002,0.10896755509240771,0.9999622016216352
2021-09-11,Ohio,OH,39,2021,9,11,11799448,1294162,11820086,0.10967987655015726,1.0017490648715093
2021-09-12,Ohio,OH,39,2021,9,12,11799448,1298625,11844600,0.11005811458298727,1.0038266196859378
2021-09-13,Ohio,OH,39,2021,9,13,11799448,1304193,11860835,0.11053000106445657,1.0052025315082536
2021-09-14,Ohio,OH,39,2021,9,14,11799448,1311518,11868012,0.11115079281674872,1.005810780300909
2021-09-15,Ohio,OH,39,2021,9,15,11799448,1319265,11885383,0.11180734895395107,1.0072829678134096
2021-09-16,Ohio,OH,39,2021,9,16,11799448,1327614,11830706,0.1125149244269732,1.0026491069751737
2021-09-17,Ohio,OH,39,2021,9,17,11799448,1336061,11850148,0.11323080537326831,1.0042968111728616
2021-09-18,Ohio,OH,39,2021,9,18,11799448,1342777,11876107,0.11379998454164975,1.0064968293432033
2021-09-19,Ohio,OH,39,2021,9,19,11799448,1347205,11895735,0.11417525633402512,1.0081602969901642
2021-09-20,Ohio,OH,39,2021,9,20,11799448,1352104,11912855,0.11459044524794719,1.0096112123211187
2021-09-21,Ohio,OH,39,2021,9,21,11799448,1358918,11922040,0.11516792988960162,1.010389638566143
2021-09-22,Ohio,OH,39,2021,9,22,11799448,1365800,11922366,0.11575117751271076,1.0104172669772349
2021-09-23,Ohio,OH,39,2021,9,23,11799448,1373275,11937353,0.1163846817240942,1.011687411139911
2021-09-24,Ohio,OH,39,2021,9,24,11799448,1380370,11957492,0.11698598103911302,1.0133941858975097
2021-09-25,Ohio,OH,39,2021,9,25,11799448,1385749,11978180,0.11744184982212727,1.0151474882553828
2021-09-26,Ohio,OH,39,2021,9,26,11799448,1390015,12002395,0.11780339215868403,1.017199702901356
2021-09-27,Ohio,OH,39,2021,9,27,11799448,1393696,12018347,0.1181153559047847,1.0185516305508528
2021-09-28,Ohio,OH,39,2021,9,28,11799448,1400979,12035855,0.11873258816853127,1.0200354287759903
2021-09-29,Ohio,OH,39,2021,9,29,11799448,1407442,12060991,0.11928032565591204,1.022165697920784
2021-09-30,Ohio,OH,39,2021,9,30,11799448,1413972,12089450,0.11983374137502026,1.024577590409314
2021-10-01,Ohio,OH,39,2021,10,1,11799448,1420206,12114178,0.12036207117485496,1.0266732816653796
2021-10-02,Ohio,OH,39,2021,10,2,11799448,1426300,12132314,0.12087853601287112,1.0282103027192457
2021-10-03,Ohio,OH,39,2021,10,3,11799448,1429745,12170958,0.12117049882333479,1.0314853711800755
2021-10-04,Ohio,OH,39,2021,10,4,11799448,1433957,12224790,0.12152746467461868,1.0360476184987637
2021-10-05,Ohio,OH,39,2021,10,5,11799448,1439490,12241979,0.12199638491563335,1.0375043815609002
2021-10-06,Ohio,OH,39,2021,10,6,11799448,1445786,12267806,0.12252996919855912,1.0396932127672414
2021-10-07,Ohio,OH,39,2021,10,7,11799448,1452096,12300302,0.12306473997766675,1.042447239904782
2021-10-08,Ohio,OH,39,2021,10,8,11799448,1458747,12336137,0.12362841041377529,1.0454842463816951
2021-10-09,Ohio,OH,39,2021,10,9,11799448,1461932,12369694,0.12389833829514736,1.048328192979875
2021-10-10,Ohio,OH,39,2021,10,10,11799448,1467331,12370298,0.12435590207270714,1.0483793818151492
2021-10-11,Ohio,OH,39,2021,10,11,11799448,1470267,12394949,0.12460472727198764,1.0504685473422146
2021-10-12,Ohio,OH,39,2021,10,12,11799448,1474723,12404949,0.12498237205672671,1.0513160446149685
2021-10-13,Ohio,OH,39,2021,10,13,11799448,1480371,12424916,0.12546103851637805,1.053008242419476
2021-10-14,Ohio,OH,39,2021,10,14,11799448,1485514,12455850,0.12589690636375533,1.0556298904830124
2021-10-15,Ohio,OH,39,2021,10,15,11799448,1490451,12488603,0.12631531576731386,1.0584056983004628
2021-10-16,Ohio,OH,39,2021,10,16,11799448,1494160,12535325,0.12662965250577823,1.0623653750582231
2021-10-17,Ohio,OH,39,2021,10,17,11799448,1496675,12557043,0.1268427980698758,1.0642059696351898
2021-10-18,Ohio,OH,39,2021,10,18,11799448,1499485,12578224,0.1270809448035196,1.0660010536086095
2021-10-19,Ohio,OH,39,2021,10,19,11799448,1503102,12589311,0.12738748456707466,1.0669406738349116
2021-10-20,Ohio,OH,39,2021,10,20,11799448,1507676,12617505,0.12777512981963224,1.0693301076457136
2021-10-21,Ohio,OH,39,2021,10,21,11799448,1511760,12644571,0.1281212477058249,1.071623943764149
2021-10-22,Ohio,OH,39,2021,10,22,11799448,1515838,12671838,0.12846685709365388,1.0739348145777667
2021-10-23,Ohio,OH,39,2021,10,23,11799448,1519304,12699508,0.12876059964839034,1.0762798395314763
2021-10-24,Ohio,OH,39,2021,10,24,11799448,1521844,12733142,0.1289758639556698,1.0791303118586564
2021-10-25,Ohio,OH,39,2021,10,25,11799448,1524169,12757608,0.12917290707158505,1.0812037986861758
2021-10-26,Ohio,OH,39,2021,10,26,11799448,1527976,12768269,0.1294955492833224,1.0821073155286587
2021-10-27,Ohio,OH,39,2021,10,27,11799448,1531815,12811065,0.12982090348633257,1.0857342648571358
2021-10-28,Ohio,OH,39,2021,10,28,11799448,1536005,12861705,0.1301760048436164,1.0900259910463608
2021-10-29,Ohio,OH,39,2021,10,29,11799448,1539490,12929897,0.1304713576431711,1.0958052444487234
2021-10-30,Ohio,OH,39,2021,10,30,11799448,1542911,12991031,0.13076128646018018,1.1009863342759763
2021-10-31,Ohio,OH,39,2021,10,31,11799448,1545327,13051101,0.1309660418012775,1.1060772503934082
2021-11-01,Ohio,OH,39,2021,11,1,11799448,1547788,13087885,0.13117461088010218,1.1091946843615057
2021-11-02,Ohio,OH,39,2021,11,2,11799448,1551705,13106301,0.13150657556183984,1.110755435339009
2021-11-03,Ohio,OH,39,2021,11,3,11799448,1556208,13149330,0.13188820358376085,1.1144021313539414
2021-11-04,Ohio,OH,39,2021,11,4,11799448,1560695,13193595,0.13226847561004548,1.118153578031786
2021-11-05,Ohio,OH,39,2021,11,5,11799448,1565043,13243738,0.13263696742423883,1.122403183606555
2021-11-06,Ohio,OH,39,2021,11,6,11799448,1567834,13288049,0.1328735039130644,1.1261585287718545
2021-11-07,Ohio,OH,39,2021,11,7,11799448,1572197,13350925,0.13324326697316688,1.131487252624021
2021-11-08,Ohio,OH,39,2021,11,8,11799448,1575319,13407043,0.1335078556217206,1.1362432378192606
2021-11-09,Ohio,OH,39,2021,11,9,11799448,1580271,13406944,0.13392753627118828,1.1362348475962605
2021-11-10,Ohio,OH,39,2021,11,10,11799448,1585798,13471402,0.13439594801383928,1.1416976455169767
2021-11-11,Ohio,OH,39,2021,11,11,11799448,1590792,13535595,0.13481918815185254,1.147137984759965
2021-11-12,Ohio,OH,39,2021,11,12,11799448,1596171,13598846,0.13527505693486677,1.15249848975986
2021-11-13,Ohio,OH,39,2021,11,13,11799448,1600860,13641019,0.13567244840606102,1.1560726400082444
2021-11-14,Ohio,OH,39,2021,11,14,11799448,1604488,13642066,0.1359799204166161,1.1561613729727018
2021-11-15,Ohio,OH,39,2021,11,15,11799448,1608415,13753451,0.1363127325956265,1.1656012213452698
2021-11-16,Ohio,OH,39,2021,11,16,11799448,1614054,13775877,0.13679063630773236,1.1675018187291473
2021-11-17,Ohio,OH,39,2021,11,17,11799448,1620436,13818992,0.13733150906720382,1.1711558032206253
2021-11-18,Ohio,OH,39,2021,11,18,11799448,1627051,13873903,0.13789212851313046,1.1758094954950435
2021-11-19,Ohio,OH,39,2021,11,19,11799448,1633480,13944501,0.13843698450978384,1.1817926567412307
2021-11-20,Ohio,OH,39,2021,11,20,11799448,1639070,13997843,0.1389107354852532,1.1863133766935539
2021-11-21,Ohio,OH,39,2021,11,21,11799448,1642867,14066325,0.13923253019971782,1.1921172075168263
2021-11-22,Ohio,OH,39,2021,11,22,11799448,1647237,14119110,0.13960288650791122,1.196590721871057
