date,state,location,population,covid_rate,year,month,day,Series_Complete_Pop_Pct,age>=12,age>=18,age>=65,Janssen_num,Moderna_num,Pfizer_num
2021-09-09,Kentucky,KY,4505836,0.13874184502054668,2021,9,9,0.496,0.5820000000000001,0.606,0.821,190457,892753,1130656
2021-09-10,Kentucky,KY,4505836,0.1399473926703058,2021,9,10,0.498,0.584,0.608,0.8220000000000001,190933,895594,1135177
2021-09-11,Kentucky,KY,4505836,0.14101844807489664,2021,9,11,0.499,0.586,0.61,0.823,191372,898007,1138831
2021-09-12,Kentucky,KY,4505836,0.14177480050316968,2021,9,12,0.5,0.5870000000000001,0.612,0.8240000000000001,191809,900348,1142437
2021-09-13,Kentucky,KY,4505836,0.14229767794478096,2021,9,13,0.502,0.589,0.613,0.8240000000000001,191930,902332,1145478
2021-09-14,Kentucky,KY,4505836,0.14338937324838277,2021,9,14,0.502,0.59,0.614,0.8240000000000001,192020,903502,1147386
2021-09-15,Kentucky,KY,4505836,0.14452212641560855,2021,9,15,0.503,0.591,0.615,0.825,192422,905370,1150319
2021-09-16,Kentucky,KY,4505836,0.1456211455543433,2021,9,16,0.505,0.593,0.616,0.826,192874,907551,1154075
2021-09-17,Kentucky,KY,4505836,0.1467421361984768,2021,9,17,0.507,0.595,0.618,0.8270000000000001,193493,910196,1158762
2021-09-18,Kentucky,KY,4505836,0.14759813717143722,2021,9,18,0.508,0.596,0.62,0.828,193968,912342,1162424
2021-09-19,Kentucky,KY,4505836,0.14826593777492122,2021,9,19,0.508,0.597,0.62,0.828,193990,912624,1163006
2021-09-20,Kentucky,KY,4505836,0.14869449309739635,2021,9,20,0.508,0.597,0.62,0.828,193994,912772,1163341
2021-09-21,Kentucky,KY,4505836,0.14948036280059904,2021,9,21,0.512,0.601,0.624,0.83,194673,918597,1172980
2021-09-22,Kentucky,KY,4505836,0.15042225238557283,2021,9,22,0.513,0.602,0.626,0.83,194946,920161,1175886
2021-09-23,Kentucky,KY,4505836,0.15129001588162552,2021,9,23,0.514,0.604,0.627,0.831,195396,922226,1179774
2021-09-24,Kentucky,KY,4505836,0.15211960666122779,2021,9,24,0.516,0.605,0.629,0.8320000000000001,195858,924200,1183342
2021-09-25,Kentucky,KY,4505836,0.15283334768509108,2021,9,25,0.519,0.609,0.632,0.8340000000000001,196499,929073,1192033
2021-09-26,Kentucky,KY,4505836,0.15323549281420806,2021,9,26,0.52,0.61,0.634,0.8340000000000001,196795,930630,1194884
2021-09-27,Kentucky,KY,4505836,0.15358748076938442,2021,9,27,0.52,0.611,0.634,0.8340000000000001,196797,930725,1195149
2021-09-28,Kentucky,KY,4505836,0.15444037466077326,2021,9,28,0.521,0.611,0.634,0.835,196817,931515,1197267
2021-09-29,Kentucky,KY,4505836,0.15523179272392515,2021,9,29,0.522,0.613,0.636,0.836,197300,933240,1199857
2021-09-30,Kentucky,KY,4505836,0.1557255967594027,2021,9,30,0.523,0.614,0.637,0.836,197589,935594,1203559
2021-10-01,Kentucky,KY,4505836,0.15662221172719112,2021,10,1,0.524,0.616,0.639,0.8370000000000001,197845,937464,1206384
2021-10-02,Kentucky,KY,4505836,0.15714131628403696,2021,10,2,0.527,0.618,0.6409999999999999,0.8390000000000001,198247,941306,1212842
2021-10-03,Kentucky,KY,4505836,0.1574056401520162,2021,10,3,0.528,0.62,0.643,0.84,198302,943785,1216992
2021-10-04,Kentucky,KY,4505836,0.15767040788879133,2021,10,4,0.528,0.62,0.643,0.84,198304,943902,1217408
2021-10-05,Kentucky,KY,4505836,0.15822013939255666,2021,10,5,0.529,0.621,0.644,0.84,198323,944706,1218840
2021-10-06,Kentucky,KY,4505836,0.15878118955061835,2021,10,6,0.53,0.622,0.645,0.841,198572,945824,1221613
2021-10-07,Kentucky,KY,4505836,0.1592911947971475,2021,10,7,0.531,0.623,0.6459999999999999,0.8420000000000001,198762,946780,1223693
2021-10-08,Kentucky,KY,4505836,0.15967469743683524,2021,10,8,0.532,0.625,0.647,0.843,199044,948688,1228184
2021-10-09,Kentucky,KY,4505836,0.16010746951287175,2021,10,9,0.5329999999999999,0.626,0.649,0.8440000000000001,199330,950252,1231380
2021-10-10,Kentucky,KY,4505836,0.1604541310424969,2021,10,10,0.534,0.627,0.65,0.845,199545,951940,1234344
2021-10-11,Kentucky,KY,4505836,0.16063767078961597,2021,10,11,0.535,0.628,0.6509999999999999,0.845,199587,952822,1236162
